DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM,AssignedDepotID
2522,106145,14.4259328,121.026074,2,1,2023-05-16,2023-05-16,102.54,102.54,Kg,2513
2522,70017011,14.5765022,121.085296,6,1,2023-05-17,2023-05-17,322.068,322.068,Kg,2513
2522,70017030,14.65087107,121.1046172,1,1,2023-05-18,2023-05-18,0.588,0.588,Kg,25P1
2522,70017039,14.59248731,121.0263236,1,1,2023-05-18,2023-05-18,31.364,31.364,Kg,2513
2522,70017068,14.61646338,121.0003123,1,1,2023-05-18,2023-05-18,3.6,3.6,Kg,25P1
2522,70017084,14.62399369,121.0553598,1,1,2023-05-17,2023-05-17,1.384,1.384,Kg,25P1
2522,70017089,14.70644244,121.0692568,1,1,2023-05-17,2023-05-17,11.37,11.37,Kg,25P1
2522,70017102,14.58444262,121.1757258,1,1,2023-05-17,2023-05-17,15.476,15.476,Kg,2513
2522,70017116,14.67744353,121.0825134,1,1,2023-05-17,2023-05-17,3.92,3.92,Kg,25P1
2522,70017124,14.70719287,120.9463142,1,1,2023-05-16,2023-05-16,11.7,11.7,Kg,25P1
2522,70017127,14.46564966,121.0177827,1,1,2023-05-17,2023-05-17,10.976,10.976,Kg,2513
2522,70017131,14.58262771,121.0547967,1,1,2023-05-17,2023-05-17,10.566,10.566,Kg,2513
2522,70017148,14.61491856,121.0617636,1,1,2023-05-17,2023-05-17,0.248,0.248,Kg,25P1
2522,70017168,14.5484264,121.0637142,1,1,2023-05-18,2023-05-18,1.88,1.88,Kg,2513
2522,70017177,14.60082726,120.9759003,1,1,2023-05-17,2023-05-17,0.124,0.124,Kg,2513
2522,70017185,14.7287482,121.1440489,1,1,2023-05-17,2023-05-17,12.6,12.6,Kg,25P1
2522,70017194,14.62745309,121.0345231,1,1,2023-05-17,2023-05-17,8.132,8.132,Kg,25P1
2522,70017203,14.57377505,121.0161974,1,1,2023-05-17,2023-05-17,0.422,0.422,Kg,2513
2522,70017222,14.56560657,121.0358869,1,1,2023-05-17,2023-05-17,3.03,3.03,Kg,2513
2522,70017245,14.75602344,121.0431592,1,1,2023-05-17,2023-05-17,18.328,18.328,Kg,25P1
2522,70017248,14.62102266,121.1684666,1,1,2023-05-18,2023-05-18,0.35,0.35,Kg,25P1
2522,70017263,14.58775938,121.1753616,1,1,2023-05-17,2023-05-17,19.132,19.132,Kg,2513
2522,70017289,14.06960255,121.3246927,1,1,2023-05-17,2023-05-17,0.518,0.518,Kg,2522
2522,70017292,14.39828524,120.976643,1,1,2023-05-18,2023-05-18,16.264,16.264,Kg,2522
2522,70017302,14.33971577,121.0838944,1,1,2023-04-26,2023-04-26,23.4,23.4,Kg,2522
2522,70017321,14.48663847,121.0273433,1,1,2023-05-17,2023-05-17,2.838,2.838,Kg,2513
2522,70017337,14.58908242,121.0690202,1,1,2023-05-17,2023-05-17,2.592,2.592,Kg,2513
2522,70017339,14.63593241,121.1012584,1,1,2023-05-18,2023-05-18,1.198,1.198,Kg,25P1
2522,70017364,14.66977558,120.9705261,1,1,2023-05-18,2023-05-18,25.092,25.092,Kg,25P1
2522,70017371,14.57842488,120.9870255,2,1,2023-05-18,2023-05-18,8.67,8.67,Kg,2513
2522,70017396,14.46192007,120.9918937,1,1,2023-05-18,2023-05-18,0.98,0.98,Kg,2513
2522,70017409,14.55456508,121.0474772,1,1,2023-05-15,2023-05-15,141.268,141.268,Kg,2513
2522,70022018,14.59149221,121.0602718,17,2,2023-05-16,2023-05-23,286.062,143.031,Kg,2513
2522,70022020,14.60931631,120.9720824,11,2,2023-05-16,2023-05-23,100.29,50.145,Kg,25P1
2522,70022024,14.31956284,121.0975249,9,2,2023-05-16,2023-05-23,72.837,36.4185,Kg,2522
2522,70022025,14.67060211,121.0380785,8,2,2023-05-16,2023-05-23,78.106,39.053,Kg,25P1
2522,70022027,14.65740175,120.9607857,9,2,2023-05-16,2023-05-23,105.033,52.5165,Kg,25P1
2522,70022033,14.67546473,121.0453383,9,2,2023-05-16,2023-05-23,103.798,51.899,Kg,25P1
2522,70022034,14.63512491,121.1022184,8,2,2023-05-16,2023-05-23,206.826,103.413,Kg,25P1
2522,70022035,14.57620862,120.9827027,30,2,2023-05-16,2023-05-23,535.121,267.5605,Kg,2513
2522,70022037,14.73577621,121.0570108,11,2,2023-05-16,2023-05-23,355.206,177.603,Kg,25P1
2522,70022038,14.62017168,121.0998751,13,2,2023-05-16,2023-05-23,253.666,126.833,Kg,25P1
2522,70022040,14.29966657,120.9547268,11,2,2023-05-16,2023-05-23,327.502,163.751,Kg,2522
2522,70022041,14.31927371,121.0976239,8,2,2023-05-16,2023-05-23,190.219,95.1095,Kg,2522
2522,70022043,14.586767,121.1135257,9,2,2023-05-16,2023-05-23,226.108,113.054,Kg,2513
2522,70022045,14.6365202,121.0281086,7,2,2023-05-16,2023-05-23,93.864,46.932,Kg,25P1
2522,70022046,14.50041128,121.0382561,13,2,2023-05-16,2023-05-23,245.494,122.747,Kg,2513
2522,70022047,14.6557083,120.9836967,8,2,2023-05-16,2023-05-23,123.292,61.646,Kg,25P1
2522,70022050,14.30070586,120.9542531,14,2,2023-05-16,2023-05-23,258.095,129.0475,Kg,2522
2522,70022052,14.44624737,121.027458,10,2,2023-05-16,2023-05-23,151.022,75.511,Kg,2513
2522,70022053,14.73007715,121.1386981,14,2,2023-05-16,2023-05-23,345.116,172.558,Kg,25P1
2522,70022054,14.34640931,121.0638508,14,2,2023-05-16,2023-05-23,268.353,134.1765,Kg,2522
2522,70022056,14.57954001,121.0458552,10,2,2023-05-16,2023-05-23,285.281,142.6405,Kg,2513
2522,70022064,14.23762644,121.0556396,13,2,2023-05-16,2023-05-23,258.69,129.345,Kg,2522
2522,70022065,14.58989849,121.0944946,11,2,2023-05-16,2023-05-23,399.884,199.942,Kg,2513
2522,70022066,14.64565313,121.0965151,3,2,2023-05-16,2023-05-23,52.58,26.29,Kg,25P1
2522,70022072,14.41899236,121.0411032,10,2,2023-05-16,2023-05-23,63.133,31.5665,Kg,2522
2522,70022073,14.56675092,121.0130763,8,2,2023-05-16,2023-05-23,43.688,21.844,Kg,2513
